Int_ID,intersection_lat,intersection_long
1,39.9524,-75.1793
2,40.1504,-74.2325
3,40.1698,-74.0815
4,40.1996,-74.643
5,40.2185,-74.0376
6,40.2953,-74.5948
7,40.3078,-74.6438
8,40.3271,-74.6435
9,40.328,-74.5727
10,40.3293,-74.6115
11,40.3324,-74.5007
12,40.3344,-74.6558
13,40.3379,-74.6569
14,40.3399,-74.5983
15,40.3422,-74.6647
16,40.3461,-74.4822
17,40.3465,-74.654
18,40.3521,-74.6069
19,40.3721,-74.6291
20,40.4252,-74.2721
21,40.4324,-74.2999
22,40.4459,-74.5047
23,40.4488,-74.5036
24,40.451,-74.2916
25,40.4556,-74.2907
26,40.4789,-74.41
27,40.4801,-74.4323
28,40.4833,-74.4736
29,40.4931,-74.4435
30,40.4943,-74.4394
31,40.4962,-74.4423
32,40.4963,-74.4497
33,40.5041,-74.2452
34,40.5053,-74.4516
35,40.5062,-74.2542
36,40.5067,-74.2365
37,40.5093,-74.4875
38,40.5135,-74.2375
39,40.5141,-74.4168
40,40.5151,-74.2451
41,40.5168,-74.2323
42,40.5188,-74.1986
43,40.5191,-74.2295
44,40.5203,-74.3389
45,40.5206,-74.2616
46,40.5209,-74.3389
47,40.5243,-74.2123
48,40.5254,-74.4237
49,40.5274,-74.4089
50,40.5284,-74.5205
51,40.5289,-74.1907
52,40.5294,-74.16
53,40.5294,-74.2191
54,40.5321,-74.156
55,40.5324,-74.2249
56,40.5325,-74.2221
57,40.5339,-74.2362
58,40.535,-74.4379
59,40.5353,-74.5378
60,40.5355,-74.1727
61,40.5364,-74.1769
62,40.5373,-74.1506
63,40.538,-74.523
64,40.5391,-74.1626
65,40.5406,-74.1932
66,40.5416,-74.2101
67,40.5442,-74.5029
68,40.5444,-74.391
69,40.548,-74.1382
70,40.5494,-74.1518
71,40.5501,-74.3689
72,40.5507,-74.1723
73,40.5515,-74.1639
74,40.5515,-74.1601
75,40.5526,-74.1745
76,40.5547,-74.2172
77,40.5549,-73.927
78,40.5557,-74.1399
79,40.5561,-73.9287
80,40.5568,-74.1252
81,40.557,-74.169
82,40.5571,-74.3082
83,40.5576,-74.1643
84,40.5578,-74.4187
85,40.5579,-73.9145
86,40.558,-73.9184
87,40.5582,-73.9248
88,40.5585,-74.143
89,40.5589,-73.9162
90,40.5593,-73.9254
91,40.5597,-74.3112
92,40.5605,-74.1669
93,40.5608,-73.9119
94,40.5609,-73.9216
95,40.5609,-73.9155
96,40.5611,-73.9213
97,40.5611,-74.1459
98,40.5615,-74.1123
99,40.5615,-74.108
100,40.562,-74.3261
101,40.5627,-74.1398
102,40.5628,-74.1809
103,40.5635,-74.1252
104,40.5637,-74.179
105,40.564,-74.126
106,40.5641,-74.1381
107,40.5643,-74.1101
108,40.5656,-74.1
109,40.5657,-74.3427
110,40.5659,-74.4121
111,40.5665,-73.8866
112,40.567,-73.8871
113,40.568,-74.5564
114,40.5687,-74.1269
115,40.569,-74.1409
116,40.5692,-74.0954
117,40.5694,-73.8642
118,40.5694,-74.3446
119,40.57,-73.8625
120,40.5702,-74.1352
121,40.5705,-74.1098
122,40.5705,-74.2838
123,40.5706,-73.8648
124,40.5707,-73.8608
125,40.5707,-74.1366
126,40.5712,-73.8631
127,40.5717,-74.0919
128,40.5718,-73.8615
129,40.572,-73.8576
130,40.572,-73.8606
131,40.5721,-73.8576
132,40.5723,-74.1261
133,40.5726,-74.1165
134,40.5727,-73.856
135,40.5728,-73.9981
136,40.5728,-73.8651
137,40.573,-73.8552
138,40.5733,-73.8544
139,40.5734,-74.0026
140,40.5735,-74.0044
141,40.5735,-73.9917
142,40.5737,-73.9907
143,40.5737,-73.8536
144,40.574,-74.2966
145,40.574,-73.9962
146,40.5741,-73.9951
