id,latitude,longitude,distance,duration
1,40.7980472,-73.96004,32208,2546
2,40.798645,-73.9614743,30743.8,2465.2
3,40.7992369,-73.962876,30878.9,2499.6
4,40.8004313,-73.9657046,31151.7,2552.7
5,40.8014007,-73.9679942,31691,2697.1
6,40.8016434,-73.9685615,31678.1,2698.4
7,40.7826312,-73.9749879,33612.7,2755.6
8,40.783828,-73.9778254,42676.4,2965.1
9,40.7845691,-73.9795827,42506.9,2897.5
10,40.7850311,-73.9806779,42401.4,2853.3
11,40.8593027,-73.9313326,34781.3,2315.8
12,40.7839788,-73.9703286,33509.3,2722.5
13,40.7851655,-73.9731396,32823.9,2706.4
14,40.7863627,-73.9759753,43010.7,2995.9
15,40.7870877,-73.9776927,42398.9,2944.8
16,40.7875673,-73.9788289,42832.3,2928.4
17,40.7885135,-73.9810702,42095.5,2876.3
18,40.7328593,-73.9959038,29391.8,2513.3
19,40.734134,-73.999188,29596.2,2567.9
20,40.704211,-74.008789,34641.3,2587
21,40.7033242,-74.0077787,34510.9,2549.1
22,40.7040838,-74.0089636,34639.8,2712.9
23,40.7031983,-74.0079887,34503.9,2560.4
24,40.7692746,-73.9810292,28365.9,2740.3
25,40.7697921,-73.9822548,28553.7,2778.4
26,40.770478,-73.9838503,29210.5,2745.7
27,40.7716655,-73.9866974,44779,3038
28,40.7728658,-73.9895487,44533.1,2961
29,40.7872287,-73.9679448,32953.2,2657.7
30,40.7884217,-73.9707647,32410.2,2634.8
31,40.7896131,-73.9736025,32683.4,2705.1
32,40.7902552,-73.9751319,41985.6,2874.7
33,40.7908141,-73.976449,41859,2850.4
34,40.7917606,-73.9786893,41673.2,2804.1
35,40.7115654,-74.0158085,45417.6,2994.2
36,40.7110326,-74.0144344,35387.2,2559.4
37,40.709687,-74.011674,44510.8,2817
38,40.709154,-74.010542,44623.8,2870.9
39,40.7482137,-74.0074126,30097,2776.9
40,40.7094916,-74.001657,33023.5,2439.8
41,40.7849758,-73.9826602,42185,2791.2
42,40.7456771,-73.9721195,26932,1952.9
43,40.7460675,-73.974927,26892.1,1966.5
44,40.8442431,-73.9337066,37101.7,2604.3
45,40.8461493,-73.9323138,32409.4,2172.1
46,40.8026929,-73.9333827,27815.1,1866.9
47,40.71325,-73.977586,30689.5,2284.9
48,40.7237914,-74.006113,30055.4,2778.1
49,40.7589757,-73.964501,26626.4,2226.3
50,40.7596362,-73.9639971,26542,2210.1
51,40.766876,-73.979076,27830.5,2607.5
52,40.7620792,-73.9619892,26693.5,2140.3
